LOC_ID,REGION,PROVINCE,CITY,TOWN
L40605,CAR,,,,,Dg0040605,R040605,"1,611,669",
L40606,CAR,ABRA,,,,Dg0040606,R040606,234733,
L40607,CAR,ABRA,,BANGUED (Capital),Agtangao,Dg0040607,R040607,2164,
L40608,CAR,ABRA,,BANGUED (Capital),Angad,Dg0040608,R040608,2298,
L40609,CAR,ABRA,,BANGUED (Capital),Bañacao,Dg0040609,R040609,1190,
L40610,CAR,ABRA,,BANGUED (Capital),Bangbangar,Dg0040610,R040610,1749,
L40611,CAR,ABRA,,BANGUED (Capital),Cabuloan,Dg0040611,R040611,1131,
L40612,CAR,ABRA,,BANGUED (Capital),Calaba,Dg0040612,R040612,2890,
L40613,CAR,ABRA,,BANGUED (Capital),Tablac (Calot),Dg0040613,R040613,1408,
L40614,CAR,ABRA,,BANGUED (Capital),Cosili West (Buaya),Dg0040614,R040614,1175,
L40615,CAR,ABRA,,BANGUED (Capital),Cosili East (Proper),Dg0040615,R040615,957,
L40616,CAR,ABRA,,BANGUED (Capital),Dangdangla,Dg0040616,R040616,1623,
L40617,CAR,ABRA,,BANGUED (Capital),Lingtan,Dg0040617,R040617,862,
L40618,CAR,ABRA,,BANGUED (Capital),Lipcan,Dg0040618,R040618,1676,
L40619,CAR,ABRA,,BANGUED (Capital),Lubong,Dg0040619,R040619,690,
L40620,CAR,ABRA,,BANGUED (Capital),Macarcarmay,Dg0040620,R040620,695,
L40621,CAR,ABRA,,BANGUED (Capital),Maoay,Dg0040621,R040621,736,
L40622,CAR,ABRA,,BANGUED (Capital),Macray,Dg0040622,R040622,755,
L40623,CAR,ABRA,,BANGUED (Capital),Malita,Dg0040623,R040623,373,
L40624,CAR,ABRA,,BANGUED (Capital),Palao,Dg0040624,R040624,1676,
L40625,CAR,ABRA,,BANGUED (Capital),Patucannay,Dg0040625,R040625,1411,
L40626,CAR,ABRA,,BANGUED (Capital),Sagap,Dg0040626,R040626,775,
L40627,CAR,ABRA,,BANGUED (Capital),San Antonio,Dg0040627,R040627,913,
L40628,CAR,ABRA,,BANGUED (Capital),Santa Rosa,Dg0040628,R040628,1784,
L40629,CAR,ABRA,,BANGUED (Capital),Sao-atan,Dg0040629,R040629,976,
L40630,CAR,ABRA,,BANGUED (Capital),Sappaac,Dg0040630,R040630,1238,
L40631,CAR,ABRA,,BANGUED (Capital),Zone 2 Pob. (Consiliman),Dg0040631,R040631,1325,
L40632,CAR,ABRA,,BANGUED (Capital),Zone 3 Pob. (Lalaud),Dg0040632,R040632,1622,
L40633,CAR,ABRA,,BANGUED (Capital),Zone 4 Pob. (Town Proper),Dg0040633,R040633,1040,
L40634,CAR,ABRA,,BANGUED (Capital),Zone 5 Pob. (Bo. Barikir),Dg0040634,R040634,2277,
L40635,CAR,ABRA,,BANGUED (Capital),Zone 6 Pob (Sinapangan),Dg0040635,R040635,1789,
L40636,CAR,ABRA,,BANGUED (Capital),Zone 7 Pob. (Baliling),Dg0040636,R040636,2721,
L40637,CAR,ABRA,,BANGUED (Capital),Zone 1 Pob. (Nalasin),Dg0040637,R040637,2017,
L40638,CAR,ABRA,,BOLINEY,,Dg0040638,R040638,4063,
L40639,CAR,ABRA,,BOLINEY,Amti,Dg0040639,R040639,411,
