Loc_ID,Demographic_ID,Resource_ID,Region,Province,District,CityOrMunicipality,Barangay,Population,Male,Female,Families
L00000,Dg0000000,R000000,CAR,,,,,"1,611,669","821,042","790,627","352,403"
L00001,Dg0000001,R000001,CAR,ABRA,,,,"234,000","119,037","114,963","49,144"
L00002,Dg0000002,R000002,CAR,ABRA,,BANGUED (Capital),,"43,830","21,808","22,022","9,779"
L00003,Dg0000003,R000003,CAR,ABRA,,BANGUED (Capital),Agtangao,"2,164","1,094","1,070",501
L00004,Dg0000004,R000004,CAR,ABRA,,BANGUED (Capital),Angad,"2,298","1,179","1,119",524
L00005,Dg0000005,R000005,CAR,ABRA,,BANGUED (Capital),Bañacao,"1,190",637,553,228
L00006,Dg0000006,R000006,CAR,ABRA,,BANGUED (Capital),Bangbangar,"1,749",890,859,405
L00007,Dg0000007,R000007,CAR,ABRA,,BANGUED (Capital),Cabuloan,"1,131",584,547,243
L00008,Dg0000008,R000008,CAR,ABRA,,BANGUED (Capital),Calaba,"2,854","1,423","1,431",673
L00009,Dg0000009,R000009,CAR,ABRA,,BANGUED (Capital),Cosili East (Proper),957,477,480,187
L00010,Dg0000010,R000010,CAR,ABRA,,BANGUED (Capital),Cosili West (Buaya),"1,175",598,577,259
L00011,Dg0000011,R000011,CAR,ABRA,,BANGUED (Capital),Dangdangla,"1,623",810,813,351
L00012,Dg0000012,R000012,CAR,ABRA,,BANGUED (Capital),Lingtan,862,449,413,181
L00013,Dg0000013,R000013,CAR,ABRA,,BANGUED (Capital),Lipcan,"1,670",854,816,387
L00014,Dg0000014,R000014,CAR,ABRA,,BANGUED (Capital),Lubong,690,345,345,151
L00015,Dg0000015,R000015,CAR,ABRA,,BANGUED (Capital),Macarcarmay,695,343,352,151
L00016,Dg0000016,R000016,CAR,ABRA,,BANGUED (Capital),Macray,755,389,366,167
L00017,Dg0000017,R000017,CAR,ABRA,,BANGUED (Capital),Malita,373,180,193,85
L00018,Dg0000018,R000018,CAR,ABRA,,BANGUED (Capital),Maoay,736,386,350,158
L00019,Dg0000019,R000019,CAR,ABRA,,BANGUED (Capital),Palao,"1,653",831,822,383
L00020,Dg0000020,R000020,CAR,ABRA,,BANGUED (Capital),Patucannay,"1,411",695,716,336
L00021,Dg0000021,R000021,CAR,ABRA,,BANGUED (Capital),Sagap,775,403,372,181
L00022,Dg0000022,R000022,CAR,ABRA,,BANGUED (Capital),San Antonio,913,486,427,212
L00023,Dg0000023,R000023,CAR,ABRA,,BANGUED (Capital),Santa Rosa,"1,784",846,938,372
L00024,Dg0000024,R000024,CAR,ABRA,,BANGUED (Capital),Sao-atan,976,513,463,212
L00025,Dg0000025,R000025,CAR,ABRA,,BANGUED (Capital),Sappaac,"1,238",629,609,267
L00026,Dg0000026,R000026,CAR,ABRA,,BANGUED (Capital),Tablac (Calot),"1,408",716,692,275
L00027,Dg0000027,R000027,CAR,ABRA,,BANGUED (Capital),Zone 1 Pob. (Nalasin),"2,017",984,"1,033",498
L00028,Dg0000028,R000028,CAR,ABRA,,BANGUED (Capital),Zone 2 Pob. (Consiliman),"1,325",609,716,282
L00029,Dg0000029,R000029,CAR,ABRA,,BANGUED (Capital),Zone 3 Pob. (Lalaud),"1,622",758,864,369
L00030,Dg0000030,R000030,CAR,ABRA,,BANGUED (Capital),Zone 4 Pob. (Town Proper),"1,014",488,526,220
L00031,Dg0000031,R000031,CAR,ABRA,,BANGUED (Capital),Zone 5 Pob. (Bo. Barikir),"2,277","1,068","1,209",499
L00032,Dg0000032,R000032,CAR,ABRA,,BANGUED (Capital),Zone 6 Pob. (Sinapangan),"1,774",849,925,387
L00033,Dg0000033,R000033,CAR,ABRA,,BANGUED (Capital),Zone 7 Pob. (Baliling),"2,721","1,295","1,426",635
L00034,Dg0000034,R000034,CAR,ABRA,,BOLINEY,,"4,063","2,063","2,000",822
L00035,Dg0000035,R000035,CAR,ABRA,,BOLINEY,Amti,411,215,196,90
L00036,Dg0000036,R000036,CAR,ABRA,,BOLINEY,Bao-yan,577,305,272,107
L00037,Dg0000037,R000037,CAR,ABRA,,BOLINEY,Danac East,518,258,260,101
L00038,Dg0000038,R000038,CAR,ABRA,,BOLINEY,Danac West,618,306,312,76
L00039,Dg0000039,R000039,CAR,ABRA,,BOLINEY,Dao-angan,399,186,213,70
L00040,Dg0000040,R000040,CAR,ABRA,,BOLINEY,Dumagas,387,197,190,54
L00041,Dg0000041,R000041,CAR,ABRA,,BOLINEY,Kilong-Olao,234,120,114,197
L00042,Dg0000042,R000042,CAR,ABRA,,BOLINEY,Poblacion (Boliney),919,476,443,127
L00043,Dg0000043,R000043,CAR,ABRA,,BUCAY,,"17,104","8,656","8,448","3,617"
L00044,Dg0000044,R000044,CAR,ABRA,,BUCAY,Abang,820,434,386,164
L00045,Dg0000045,R000045,CAR,ABRA,,BUCAY,Bangbangcag,"1,088",539,549,222
L00046,Dg0000046,R000046,CAR,ABRA,,BUCAY,Bangcagan,616,306,310,129
L00047,Dg0000047,R000047,CAR,ABRA,,BUCAY,Banglolao,598,294,304,130
L00048,Dg0000048,R000048,CAR,ABRA,,BUCAY,Bugbog,694,367,327,154
